League Name,Date,Home Team,Home Score,Away Score,Away Team
Trendyol Süper Lig,22.08.2004 17:00,A.SEBATSPOR,2,2,DİYARBAKIRSPOR
Trendyol Süper Lig,22.08.2004 19:00,GALATASARAY,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,22.08.2004 19:00,KAYSERİSPOR,1,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,22.08.2004 19:00,GAZİANTEPSPOR,1,0,SAKARYASPOR A.Ş.
Trendyol Süper Lig,20.08.2005 19:00,TRABZONSPOR A.Ş.,3,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,20.08.2005 20:00,SAMSUNSPOR,1,2,SİVASSPOR
Trendyol Süper Lig,20.08.2005 20:00,DENİZLİSPOR,1,3,KAYSERİSPOR
Trendyol Süper Lig,20.08.2005 21:15,GENÇLERBİRLİĞİ,0,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,21.08.2005 19:00,ÇAYKUR RİZESPOR,1,2,FENERBAHÇE
Trendyol Süper Lig,21.08.2005 20:00,DİYARBAKIRSPOR,1,2,ANKARASPOR A.Ş.
Trendyol Süper Lig,21.08.2005 20:00,KAYSERİ ERCİYESSPOR,0,0,KONYASPOR
Trendyol Süper Lig,21.08.2005 20:00,VESTEL MANİSASPOR,1,2,GAZİANTEPSPOR
Trendyol Süper Lig,21.08.2005 21:18,GALATASARAY A.Ş.,5,2,MALATYASPOR
Trendyol Süper Lig,19.08.2006 20:00,VESTEL MANİSASPOR,2,2,GALATASARAY A.Ş.
Trendyol Süper Lig,19.08.2006 20:00,ANKARASPOR A.Ş.,2,2,KAYSERİ ERCİYESSPOR
Trendyol Süper Lig,19.08.2006 21:45,FENERBAHÇE,2,1,ÇAYKUR RİZESPOR
Trendyol Süper Lig,20.08.2006 19:00,GAZİANTEPSPOR,2,1,TRABZONSPOR A.Ş.
Trendyol Süper Lig,20.08.2006 20:00,KONYASPOR,0,0,ANTALYASPOR A.Ş.
Trendyol Süper Lig,20.08.2006 20:00,BURSASPOR,0,0,GENÇLERBİRLİĞİ
Trendyol Süper Lig,20.08.2006 20:00,KAYSERİSPOR,2,1,MKE ANKARAGÜCÜ
Trendyol Süper Lig,20.08.2006 20:00,SİVASSPOR,0,2,SAKARYASPOR A.Ş.
Trendyol Süper Lig,20.08.2006 21:45,DENİZLİSPOR,0,2,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,13.09.2008 19:00,HACETTEPE SPOR,2,1,FENERBAHÇE
Trendyol Süper Lig,13.09.2008 20:00,KONYASPOR,1,1,DENİZLİSPOR
Trendyol Süper Lig,13.09.2008 20:00,KAYSERİSPOR,1,0,KOCAELİSPOR
Trendyol Süper Lig,13.09.2008 21:45,GALATASARAY A.Ş.,1,1,ANTALYASPOR A.Ş.
Trendyol Süper Lig,14.09.2008 19:15,SİVASSPOR,3,1,BURSASPOR
Trendyol Süper Lig,14.09.2008 20:00,GENÇLERBİRLİĞİ,3,1,ESKİŞEHİRSPOR
Trendyol Süper Lig,14.09.2008 20:00,GAZİANTEPSPOR,2,2,MKE ANKARAGÜCÜ
Trendyol Süper Lig,14.09.2008 20:00,BÜYÜKŞEHİR BLD.SPOR,1,2,ANKARASPOR A.Ş.
Trendyol Süper Lig,14.09.2008 21:45,TRABZONSPOR A.Ş.,0,0,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,22.08.2009 21:00,GENÇLERBİRLİĞİ,0,0,BEŞİKTAŞ A.Ş.
Trendyol Süper Lig,22.08.2009 21:00,BURSASPOR,1,0,MKE ANKARAGÜCÜ
Trendyol Süper Lig,22.08.2009 21:00,BÜYÜKŞEHİR BLD.SPOR,0,0,ESKİŞEHİRSPOR
Trendyol Süper Lig,23.08.2009 21:00,GAZİANTEPSPOR,3,0,ANKARASPOR A.Ş.
Trendyol Süper Lig,23.08.2009 21:00,ANTALYASPOR A.Ş.,2,0,KASIMPAŞA
Trendyol Süper Lig,23.08.2009 21:00,GALATASARAY A.Ş.,4,1,KAYSERİSPOR
Trendyol Süper Lig,23.08.2009 21:00,MANİSASPOR,1,0,TRABZONSPOR A.Ş.
Trendyol Süper Lig,24.08.2009 21:00,DİYARBAKIRSPOR,1,3,FENERBAHÇE
Trendyol Süper Lig,16.09.2009 21:00,DENİZLİSPOR,1,1,SİVASSPOR
