League Name,Match Date,Home Team,Away Team,Score
LaLiga2,Sun3/18/01,Real Betis,CD Tenerife,0:2
LaLiga2,,Getafe,Sevilla FC,0:1
LaLiga2,,Sporting Gijón,UE Lleida,1:2
LaLiga2,,Albacete,CD Leganés,0:0
LaLiga2,,Levante,UD Salamanca,2:0
LaLiga2,,Racing Ferrol,Uni. Las Palmas,1:2
LaLiga2,,SD Compostela,Extremadura,3:2
LaLiga2,,Recr. Huelva,Real Murcia,4:1
LaLiga2,,Real Jaén CF,SD Eibar,1:0
LaLiga2,,,,
LaLiga2,Sat3/24/01,Córdoba CF,Atlético Madrid,1:1
LaLiga2,Sun3/25/01,CD Tenerife,Racing Ferrol,1:1
LaLiga2,,Sevilla FC,Levante,3:2
LaLiga2,,Extremadura,Real Betis,1:0
LaLiga2,,UE Lleida,Getafe,1:2
LaLiga2,,Albacete,Elche CF,2:0
LaLiga2,,Uni. Las Palmas,CD Badajoz,1:1
LaLiga2,,CD Leganés,Sporting Gijón,0:1
LaLiga2,,SD Eibar,SD Compostela,0:0
LaLiga2,,UD Salamanca,Recr. Huelva,0:1
LaLiga2,,Real Murcia,Real Jaén CF,2:2
LaLiga2,,,,
LaLiga2,Sat3/31/01,Atlético Madrid,Uni. Las Palmas,2:0
LaLiga2,,Elche CF,Córdoba CF,1:2
LaLiga2,,Getafe,CD Leganés,0:1
LaLiga2,,Racing Ferrol,Extremadura,1:1
LaLiga2,Sun4/1/01,CD Badajoz,CD Tenerife,1:2
LaLiga2,,Recr. Huelva,Sevilla FC,1:1
LaLiga2,,Real Betis,SD Eibar,1:0
LaLiga2,,Levante,UE Lleida,3:2
LaLiga2,,Sporting Gijón,Albacete,4:2
LaLiga2,,SD Compostela,Real Murcia,2:0
LaLiga2,,Real Jaén CF,UD Salamanca,2:1
LaLiga2,,,,
LaLiga2,Sat4/7/01,Sevilla FC,Real Jaén CF,0:1
LaLiga2,,UE Lleida,Recr. Huelva,0:0
LaLiga2,,Uni. Las Palmas,Córdoba CF,0:2
LaLiga2,Sun4/8/01,CD Tenerife,Atlético Madrid,1:2
LaLiga2,,Real Murcia,Real Betis,1:3
LaLiga2,,Albacete,Getafe,2:1
LaLiga2,,CD Leganés,Levante,1:0
LaLiga2,,Sporting Gijón,Elche CF,2:1
LaLiga2,,UD Salamanca,SD Compostela,1:2
LaLiga2,,SD Eibar,Racing Ferrol,1:1
LaLiga2,,Extremadura,CD Badajoz,1:0
LaLiga2,,,,
LaLiga2,Sat4/14/01,Córdoba CF,CD Tenerife,1:0
LaLiga2,,SD Compostela,Sevilla FC,0:2
LaLiga2,Sun4/15/01,Real Betis,UD Salamanca,2:1
LaLiga2,,Atlético Madrid,Extremadura,2:0
LaLiga2,,Real Jaén CF,UE Lleida,2:1
LaLiga2,,Levante,Albacete,0:0
LaLiga2,,Getafe,Sporting Gijón,3:1
LaLiga2,,Elche CF,Uni. Las Palmas,0:1
LaLiga2,,Recr. Huelva,CD Leganés,1:1
LaLiga2,,Racing Ferrol,Real Murcia,1:1
LaLiga2,,CD Badajoz,SD Eibar,1:0
LaLiga2,,,,
LaLiga2,Sat4/21/01,CD Tenerife,Uni. Las Palmas,2:0
LaLiga2,,CD Leganés,Real Jaén CF,0:0
LaLiga2,Sun4/22/01,Sevilla FC,Real Betis,1:1
LaLiga2,,SD Eibar,Atlético Madrid,2:1
LaLiga2,,UE Lleida,SD Compostela,1:2
LaLiga2,,Extremadura,Córdoba CF,1:0
LaLiga2,,Albacete,Recr. Huelva,0:2
LaLiga2,,Getafe,Elche CF,1:1
LaLiga2,,Sporting Gijón,Levante,1:2
LaLiga2,,UD Salamanca,Racing Ferrol,1:1
LaLiga2,,Real Murcia,CD Badajoz,0:0
LaLiga2,,,,
LaLiga2,Sat4/28/01,Real Betis,UE Lleida,4:1
LaLiga2,,Atlético Madrid,Real Murcia,0:3
LaLiga2,,SD Compostela,CD Leganés,1:1
LaLiga2,,CD Badajoz,UD Salamanca,0:1
LaLiga2,Sun4/29/01,Elche CF,CD Tenerife,0:2
LaLiga2,,Racing Ferrol,Sevilla FC,1:1
LaLiga2,,Córdoba CF,SD Eibar,2:0
LaLiga2,,Real Jaén CF,Albacete,3:0
LaLiga2,,Levante,Getafe,3:3
LaLiga2,,Uni. Las Palmas,Extremadura,1:0
LaLiga2,,Recr. Huelva,Sporting Gijón,1:1
LaLiga2,,,,
LaLiga2,Sat5/5/01,UE Lleida,Racing Ferrol,0:1
LaLiga2,,Getafe,Recr. Huelva,0:1
LaLiga2,,Levante,Elche CF,3:3
LaLiga2,,SD Eibar,Uni. Las Palmas,3:0
LaLiga2,Sun5/6/01,Extremadura,CD Tenerife,1:0
LaLiga2,,Sevilla FC,CD Badajoz,5:2
LaLiga2,,CD Leganés,Real Betis,1:1
LaLiga2,,UD Salamanca,Atlético Madrid,1:3
LaLiga2,,Real Murcia,Córdoba CF,0:0
LaLiga2,,Albacete,SD Compostela,2:0
LaLiga2,,Sporting Gijón,Real Jaén CF,1:0
LaLiga2,,,,
LaLiga2,Sat5/12/01,Atlético Madrid,Sevilla FC,2:0
LaLiga2,Sun5/13/01,CD Tenerife,SD Eibar,0:0
LaLiga2,,Real Betis,Albacete,1:2
LaLiga2,,CD Badajoz,UE Lleida,1:0
LaLiga2,,Córdoba CF,UD Salamanca,1:1
LaLiga2,,Real Jaén CF,Getafe,3:1
LaLiga2,,Recr. Huelva,Levante,1:1
LaLiga2,,Elche CF,Extremadura,3:1
LaLiga2,,Uni. Las Palmas,Real Murcia,2:1
LaLiga2,,SD Compostela,Sporting Gijón,1:2
LaLiga2,,Racing Ferrol,CD Leganés,1:0
LaLiga2,,,,
LaLiga2,Sat5/19/01,Real Murcia,CD Tenerife,0:1
LaLiga2,,Sporting Gijón,Real Betis,1:2
LaLiga2,,Getafe,SD Compostela,0:3
LaLiga2,Sun5/20/01,Sevilla FC,Córdoba CF,2:0
LaLiga2,,UE Lleida,Atlético Madrid,1:1
LaLiga2,,Albacete,Racing Ferrol,1:0
LaLiga2,,Levante,Real Jaén CF,2:2
LaLiga2,,Recr. Huelva,Elche CF,0:0
LaLiga2,,UD Salamanca,Uni. Las Palmas,4:0
LaLiga2,,SD Eibar,Extremadura,0:0
LaLiga2,,CD Leganés,CD Badajoz,0:0
LaLiga2,,,,
LaLiga2,Sat5/26/01,Uni. Las Palmas,Sevilla FC,1:3
LaLiga2,,Real Jaén CF,Recr. Huelva,3:1
LaLiga2,,Elche CF,SD Eibar,2:0
LaLiga2,,Racing Ferrol,Sporting Gijón,2:3
LaLiga2,Sun5/27/01,CD Tenerife,UD Salamanca,1:1
LaLiga2,,Atlético Madrid,CD Leganés,1:0
LaLiga2,,Córdoba CF,UE Lleida,3:0
LaLiga2,,CD Badajoz,Albacete,0:0
LaLiga2,,SD Compostela,Levante,1:1
LaLiga2,,Extremadura,Real Murcia,2:0
LaLiga2,,Real Betis,Getafe,1:0
LaLiga2,,,,
LaLiga2,Sat6/2/01,Levante,Real Betis,3:2
LaLiga2,Sun6/3/01,Sevilla FC,CD Tenerife,1:0
LaLiga2,,Albacete,Atlético Madrid,0:1
LaLiga2,,UE Lleida,Uni. Las Palmas,4:2
LaLiga2,,CD Leganés,Córdoba CF,4:0
LaLiga2,,Recr. Huelva,SD Compostela,2:0
LaLiga2,,Sporting Gijón,CD Badajoz,1:0
LaLiga2,,Real Jaén CF,Elche CF,3:1
LaLiga2,,Getafe,Racing Ferrol,1:2
LaLiga2,,UD Salamanca,Extremadura,1:2
LaLiga2,,Real Murcia,SD Eibar,1:0
LaLiga2,,,,
LaLiga2,Sat6/9/01,Extremadura,Sevilla FC,1:1
LaLiga2,Sun6/10/01,CD Tenerife,UE Lleida,3:2
LaLiga2,,Real Betis,Recr. Huelva,1:0
LaLiga2,,Atlético Madrid,Sporting Gijón,1:0
LaLiga2,,Racing Ferrol,Levante,1:1
LaLiga2,,Córdoba CF,Albacete,1:4
LaLiga2,,SD Eibar,UD Salamanca,1:3
LaLiga2,,CD Badajoz,Getafe,2:2
LaLiga2,,SD Compostela,Real Jaén CF,0:0
LaLiga2,,Real Murcia,Elche CF,0:1
