League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol 1. Lig,16.12.2001 13:30,HATAYSPOR,SİİRT JETPA SPOR,3,0
Trendyol 1. Lig,16.12.2001 13:30,ERZURUMSPOR,KAYSERİSPOR,2,0
Trendyol 1. Lig,16.12.2001 13:30,BÜYÜKŞEHİR BLD.SPOR,İZMİRSPOR,3,1
Trendyol 1. Lig,16.12.2001 13:30,GÜMÜŞHANE DOĞANSPOR,B.B. ANKARASPOR,4,0
Trendyol 1. Lig,16.12.2001 13:30,ERCİYESSPOR,SAKARYASPOR A.Ş.,1,4
Trendyol 1. Lig,16.12.2001 13:30,AYDINSPOR,BATMAN PETROLSPOR,1,0
Trendyol 1. Lig,16.12.2001 13:30,KOMBASSAN KONYASPOR,DARDANELSPOR A.Ş.,4,2
Trendyol 1. Lig,20.01.2002 13:30,DARDANELSPOR A.Ş.,BATMAN PETROLSPOR,2,1
Trendyol 1. Lig,20.01.2002 13:30,AYDINSPOR,SAKARYASPOR A.Ş.,0,0
Trendyol 1. Lig,20.01.2002 13:30,ERCİYESSPOR,ELAZIĞSPOR,0,1
Trendyol 1. Lig,20.01.2002 13:30,ALTAY,A.SEBATSPOR,2,1
Trendyol 1. Lig,20.01.2002 13:30,ŞEKERSPOR,B.B. ANKARASPOR,1,0
Trendyol 1. Lig,20.01.2002 13:30,GÜMÜŞHANE DOĞANSPOR,İZMİRSPOR,2,0
Trendyol 1. Lig,20.01.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,KAYSERİSPOR,0,2
Trendyol 1. Lig,20.01.2002 13:30,ERZURUMSPOR,SİİRT JETPA SPOR,3,0
Trendyol 1. Lig,20.01.2002 13:30,HATAYSPOR,ADANASPOR A.Ş.,0,0
Trendyol 1. Lig,20.01.2002 13:30,KOMBASSAN KONYASPOR,SİVASSPOR,3,0
Trendyol 1. Lig,27.01.2002 13:30,SAKARYASPOR A.Ş.,DARDANELSPOR A.Ş.,3,0
Trendyol 1. Lig,27.01.2002 13:30,SİVASSPOR,HATAYSPOR,1,0
Trendyol 1. Lig,27.01.2002 13:30,İZMİRSPOR,ŞEKERSPOR,3,1
Trendyol 1. Lig,27.01.2002 13:30,B.B. ANKARASPOR,ALTAY,1,2
Trendyol 1. Lig,27.01.2002 13:30,BATMAN PETROLSPOR,KOMBASSAN KONYASPOR,1,3
Trendyol 1. Lig,27.01.2002 13:33,KAYSERİSPOR,GÜMÜŞHANE DOĞANSPOR,1,1
Trendyol 1. Lig,27.01.2002 13:34,ADANASPOR A.Ş.,ERZURUMSPOR,1,0
Trendyol 1. Lig,27.01.2002 13:34,ELAZIĞSPOR,AYDINSPOR,4,1
Trendyol 1. Lig,27.01.2002 13:35,A.SEBATSPOR,ERCİYESSPOR,5,0
Trendyol 1. Lig,27.01.2002 13:36,SİİRT JETPA SPOR,BÜYÜKŞEHİR BLD.SPOR,1,1
Trendyol 1. Lig,02.02.2002 13:30,ALTAY,İZMİRSPOR,2,1
Trendyol 1. Lig,02.02.2002 13:30,ŞEKERSPOR,KAYSERİSPOR,0,1
Trendyol 1. Lig,03.02.2002 13:30,BATMAN PETROLSPOR,SAKARYASPOR A.Ş.,2,2
Trendyol 1. Lig,03.02.2002 13:30,DARDANELSPOR A.Ş.,ELAZIĞSPOR,1,0
Trendyol 1. Lig,03.02.2002 13:30,AYDINSPOR,A.SEBATSPOR,0,0
Trendyol 1. Lig,03.02.2002 13:30,ERCİYESSPOR,B.B. ANKARASPOR,1,0
Trendyol 1. Lig,03.02.2002 13:30,GÜMÜŞHANE DOĞANSPOR,SİİRT JETPA SPOR,1,0
Trendyol 1. Lig,03.02.2002 13:30,BÜYÜKŞEHİR BLD.SPOR,ADANASPOR A.Ş.,1,1
Trendyol 1. Lig,03.02.2002 13:30,ERZURUMSPOR,SİVASSPOR,0,0
Trendyol 1. Lig,03.02.2002 13:30,KOMBASSAN KONYASPOR,HATAYSPOR,0,0
Trendyol 1. Lig,10.02.2002 13:30,A.SEBATSPOR,DARDANELSPOR A.Ş.,2,1
Trendyol 1. Lig,10.02.2002 13:30,ELAZIĞSPOR,BATMAN PETROLSPOR,3,0
Trendyol 1. Lig,10.02.2002 13:30,HATAYSPOR,ERZURUMSPOR,1,3
Trendyol 1. Lig,10.02.2002 13:30,SİVASSPOR,BÜYÜKŞEHİR BLD.SPOR,2,1
Trendyol 1. Lig,10.02.2002 13:30,ADANASPOR A.Ş.,GÜMÜŞHANE DOĞANSPOR,1,0
Trendyol 1. Lig,10.02.2002 13:30,SİİRT JETPA SPOR,ŞEKERSPOR,1,0
Trendyol 1. Lig,10.02.2002 13:30,KAYSERİSPOR,ALTAY,3,2
Trendyol 1. Lig,10.02.2002 13:30,İZMİRSPOR,ERCİYESSPOR,1,0
Trendyol 1. Lig,10.02.2002 13:30,B.B. ANKARASPOR,AYDINSPOR,5,0
Trendyol 1. Lig,10.02.2002 13:30,SAKARYASPOR A.Ş.,KOMBASSAN KONYASPOR,4,0
Trendyol 1. Lig,16.02.2002 12:00,ALTAY,SİİRT JETPA SPOR,3,0
Trendyol 1. Lig,17.02.2002 12:00,KOMBASSAN KONYASPOR,ERZURUMSPOR,0,0
Trendyol 1. Lig,17.02.2002 13:30,SAKARYASPOR A.Ş.,ELAZIĞSPOR,1,3
Trendyol 1. Lig,17.02.2002 13:30,BATMAN PETROLSPOR,A.SEBATSPOR,0,1
Trendyol 1. Lig,17.02.2002 13:30,DARDANELSPOR A.Ş.,B.B. ANKARASPOR,2,0
Trendyol 1. Lig,17.02.2002 13:30,AYDINSPOR,İZMİRSPOR,1,2
Trendyol 1. Lig,17.02.2002 13:30,ERCİYESSPOR,KAYSERİSPOR,0,4
Trendyol 1. Lig,17.02.2002 13:30,ŞEKERSPOR,ADANASPOR A.Ş.,4,1
