League Name,Date,Home Team,Away Team,Home Score,Away Score
Trendyol Süper Lig,04.02.2001 13:30,KOCAELİSPOR,MKE ANKARAGÜCÜ,4,0
Trendyol Süper Lig,04.02.2001 13:30,ADANASPOR A.Ş.,GENÇLERBİRLİĞİ,2,3
Trendyol Süper Lig,04.02.2001 19:00,İSTANBULSPOR A.Ş.,FENERBAHÇE,1,2
Trendyol Süper Lig,09.02.2001 20:00,TRABZONSPOR,SAMSUNSPOR,3,2
Trendyol Süper Lig,10.02.2001 13:30,ADANASPOR A.Ş.,SİİRT JETPA SPOR,0,2
Trendyol Süper Lig,10.02.2001 13:30,MKE ANKARAGÜCÜ,İSTANBULSPOR A.Ş.,1,1
Trendyol Süper Lig,10.02.2001 19:00,GALATASARAY,BURSASPOR,2,1
Trendyol Süper Lig,11.02.2001 13:30,ERZURUMSPOR,DENİZLİSPOR,2,2
Trendyol Süper Lig,11.02.2001 13:30,GAZİANTEPSPOR,KOCAELİSPOR,0,0
Trendyol Süper Lig,11.02.2001 13:30,ANTALYASPOR A.Ş.,YİMPAŞ YOZGATSPOR,1,1
Trendyol Süper Lig,11.02.2001 17:00,ÇAYKUR RİZESPOR,BEŞİKTAŞ,5,1
Trendyol Süper Lig,11.02.2001 19:00,FENERBAHÇE,GENÇLERBİRLİĞİ,3,0
Trendyol Süper Lig,16.02.2001 20:00,İSTANBULSPOR A.Ş.,GAZİANTEPSPOR,0,1
Trendyol Süper Lig,17.02.2001 13:30,DENİZLİSPOR,ANTALYASPOR A.Ş.,1,1
Trendyol Süper Lig,17.02.2001 14:00,SİİRT JETPA SPOR,FENERBAHÇE,0,4
Trendyol Süper Lig,17.02.2001 19:00,SAMSUNSPOR,GALATASARAY,1,1
Trendyol Süper Lig,18.02.2001 13:30,GENÇLERBİRLİĞİ,MKE ANKARAGÜCÜ,3,4
Trendyol Süper Lig,18.02.2001 13:30,BURSASPOR,ERZURUMSPOR,6,0
Trendyol Süper Lig,18.02.2001 13:30,ÇAYKUR RİZESPOR,YİMPAŞ YOZGATSPOR,1,0
Trendyol Süper Lig,18.02.2001 13:30,KOCAELİSPOR,TRABZONSPOR,3,2
Trendyol Süper Lig,18.02.2001 19:05,BEŞİKTAŞ,ADANASPOR A.Ş.,2,1
Trendyol Süper Lig,23.02.2001 20:00,GAZİANTEPSPOR,GENÇLERBİRLİĞİ,1,0
Trendyol Süper Lig,24.02.2001 13:30,ÇAYKUR RİZESPOR,ANTALYASPOR A.Ş.,0,2
Trendyol Süper Lig,24.02.2001 13:30,MKE ANKARAGÜCÜ,SİİRT JETPA SPOR,4,1
Trendyol Süper Lig,24.02.2001 19:00,FENERBAHÇE,BEŞİKTAŞ,3,1
Trendyol Süper Lig,25.02.2001 13:30,ADANASPOR A.Ş.,YİMPAŞ YOZGATSPOR,3,3
Trendyol Süper Lig,25.02.2001 13:30,BURSASPOR,DENİZLİSPOR,2,1
Trendyol Süper Lig,25.02.2001 13:30,TRABZONSPOR,İSTANBULSPOR A.Ş.,1,2
Trendyol Süper Lig,25.02.2001 13:30,ERZURUMSPOR,SAMSUNSPOR,1,2
Trendyol Süper Lig,25.02.2001 19:00,GALATASARAY,KOCAELİSPOR,2,3
Trendyol Süper Lig,02.03.2001 20:00,GENÇLERBİRLİĞİ,TRABZONSPOR,0,2
Trendyol Süper Lig,03.03.2001 14:00,ANTALYASPOR A.Ş.,ADANASPOR A.Ş.,2,1
Trendyol Süper Lig,03.03.2001 14:00,SİİRT JETPA SPOR,GAZİANTEPSPOR,1,2
Trendyol Süper Lig,03.03.2001 14:00,YİMPAŞ YOZGATSPOR,FENERBAHÇE,2,3
Trendyol Süper Lig,03.03.2001 19:00,SAMSUNSPOR,BURSASPOR,2,0
Trendyol Süper Lig,04.03.2001 14:00,ÇAYKUR RİZESPOR,DENİZLİSPOR,2,1
Trendyol Süper Lig,04.03.2001 14:00,KOCAELİSPOR,ERZURUMSPOR,1,0
Trendyol Süper Lig,04.03.2001 19:00,BEŞİKTAŞ,MKE ANKARAGÜCÜ,4,0
Trendyol Süper Lig,11.04.2001 17:30,İSTANBULSPOR A.Ş.,GALATASARAY,3,5
Trendyol Süper Lig,09.03.2001 20:00,GAZİANTEPSPOR,BEŞİKTAŞ,3,1
Trendyol Süper Lig,10.03.2001 14:00,ERZURUMSPOR,İSTANBULSPOR A.Ş.,1,3
Trendyol Süper Lig,10.03.2001 14:00,BURSASPOR,KOCAELİSPOR,1,1
Trendyol Süper Lig,10.03.2001 14:00,SAMSUNSPOR,DENİZLİSPOR,2,1
Trendyol Süper Lig,10.03.2001 19:00,GALATASARAY,GENÇLERBİRLİĞİ,2,1
Trendyol Süper Lig,11.03.2001 14:00,ÇAYKUR RİZESPOR,ADANASPOR A.Ş.,4,2
Trendyol Süper Lig,11.03.2001 14:00,TRABZONSPOR,SİİRT JETPA SPOR,2,4
Trendyol Süper Lig,11.03.2001 14:00,MKE ANKARAGÜCÜ,YİMPAŞ YOZGATSPOR,4,0
Trendyol Süper Lig,11.03.2001 19:00,FENERBAHÇE,ANTALYASPOR A.Ş.,2,1
Trendyol Süper Lig,16.03.2001 20:00,KOCAELİSPOR,SAMSUNSPOR,1,0
Trendyol Süper Lig,17.03.2001 14:00,ANTALYASPOR A.Ş.,MKE ANKARAGÜCÜ,3,4
Trendyol Süper Lig,17.03.2001 14:00,GENÇLERBİRLİĞİ,ERZURUMSPOR,1,2
