Home Team,Score,Away Team
DİYARBEKİR SPOR A.Ş.,2 - 1,KIRŞEHİR FUTBOL SPOR KULÜBÜ
ANKARASPOR,2 - 0,BURSASPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,2 - 2,VEFA GROUP VAN SPOR FK
KIRKLARELİSPOR FUTBOL A.Ş,1 - 0,DİYARBEKİR SPOR A.Ş.
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
1461 TRABZON FK,2 - 2,ESENLER EROKSPOR
BUCASPOR 1928,1 - 0,ANKARASPOR
ANKARA DEMİRSPOR,3 - 2,ALTINORDU
SERİK BELEDİYESPOR,1 - 2,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 1,KARACABEY BELEDİYE SPOR A.Ş.
BURSASPOR,0 - 0,NAZİLLİ BELEDİYESPOR
DİYARBEKİR SPOR A.Ş.,5 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
KARACABEY BELEDİYE SPOR A.Ş.,1 - 1,SERİK BELEDİYESPOR
NAZİLLİ BELEDİYESPOR,2 - 2,BUCASPOR 1928
VEFA GROUP VAN SPOR FK,2 - 0,KIRKLARELİSPOR FUTBOL A.Ş
ANKARASPOR,2 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,1 - 0,ANKARA DEMİRSPOR
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,4 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 3,1461 TRABZON FK
ALTINORDU,2 - 0,BURSASPOR
BURSASPOR,1 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 1,NAZİLLİ BELEDİYESPOR
ESENLER EROKSPOR,4 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
1461 TRABZON FK,3 - 1,DİYARBEKİR SPOR A.Ş.
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 2,VEFA GROUP VAN SPOR FK
SERİK BELEDİYESPOR,3 - 2,ANKARASPOR
BUCASPOR 1928,1 - 0,ALTINORDU
KIRKLARELİSPOR FUTBOL A.Ş,1 - 0,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
KIRŞEHİR FUTBOL SPOR KULÜBÜ,0 - 1,KARACABEY BELEDİYE SPOR A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,0 - 2,BUCASPOR 1928
KARACABEY BELEDİYE SPOR A.Ş.,0 - 0,KIRKLARELİSPOR FUTBOL A.Ş
ANKARASPOR,2 - 2,KIRŞEHİR FUTBOL SPOR KULÜBÜ
DİYARBEKİR SPOR A.Ş.,3 - 2,ESENLER EROKSPOR
ANKARA DEMİRSPOR,2 - 0,BURSASPOR
ALTINORDU,2 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
NAZİLLİ BELEDİYESPOR,0 - 3,SERİK BELEDİYESPOR
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,0 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
ACNTURK SİGORTA VAN SPOR FK,1 - 0,1461 TRABZON FK
BUCASPOR 1928,1 - 0,ANKARA DEMİRSPOR
SERİK BELEDİYESPOR,0 - 0,ALTINORDU
ZONGULDAK KÖMÜRSPOR A.Ş,2 - 1,KARACABEY BELEDİYE SPOR A.Ş.
1461 TRABZON FK,0 - 1,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ESENLER EROKSPOR,2 - 0,ACNTURK SİGORTA VAN SPOR FK
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 0,DİYARBEKİR SPOR A.Ş.
KIRKLARELİSPOR FUTBOL A.Ş,1 - 0,ANKARASPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 0,NAZİLLİ BELEDİYESPOR
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,2 - 2,ESENLER EROKSPOR
ALTINORDU,2 - 1,KIRŞEHİR FUTBOL SPOR KULÜBÜ
ACNTURK SİGORTA VAN SPOR FK,2 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,3 - 1,1461 TRABZON FK
BURSASPOR,0 - 2,BUCASPOR 1928
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,2 - 0,SERİK BELEDİYESPOR
ANKARA DEMİRSPOR,2 - 0,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
NAZİLLİ BELEDİYESPOR,3 - 1,KIRKLARELİSPOR FUTBOL A.Ş
ANKARASPOR,1 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
ZONGULDAK KÖMÜRSPOR A.Ş,3 - 0,NAZİLLİ BELEDİYESPOR
KIRŞEHİR FUTBOL SPOR KULÜBÜ,0 - 4,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
SERİK BELEDİYESPOR,1 - 0,ANKARA DEMİRSPOR
KIRKLARELİSPOR FUTBOL A.Ş,0 - 0,ALTINORDU
ESENLER EROKSPOR,2 - 1,KARACABEY BELEDİYE SPOR A.Ş.
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 0,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 3,BURSASPOR
DİYARBEKİR SPOR A.Ş.,1 - 3,ACNTURK SİGORTA VAN SPOR FK
1461 TRABZON FK,2 - 1,ANKARASPOR
ANKARASPOR,0 - 0,ESENLER EROKSPOR
ANKARA DEMİRSPOR,1 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,2 - 1,DİYARBEKİR SPOR A.Ş.
KARACABEY BELEDİYE SPOR A.Ş.,1 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
NAZİLLİ BELEDİYESPOR,2 - 2,1461 TRABZON FK
BURSASPOR,2 - 2,SERİK BELEDİYESPOR
BUCASPOR 1928,3 - 2,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,1 - 0,KIRKLARELİSPOR FUTBOL A.Ş
ALTINORDU,3 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
1461 TRABZON FK,2 - 1,ALTINORDU
KIRKLARELİSPOR FUTBOL A.Ş,0 - 0,ANKARA DEMİRSPOR
DİYARBEKİR SPOR A.Ş.,1 - 2,KARACABEY BELEDİYE SPOR A.Ş.
SERİK BELEDİYESPOR,1 - 2,BUCASPOR 1928
ACNTURK SİGORTA VAN SPOR FK,3 - 0,YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 2,BURSASPOR
HES İLAÇ AFYONSPOR KULÜBÜ,1 - 1,ANKARASPOR
ESENLER EROKSPOR,3 - 0,NAZİLLİ BELEDİYESPOR
ZONGULDAK KÖMÜRSPOR A.Ş,1 - 0,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
ANKARA DEMİRSPOR,1 - 1,ZONGULDAK KÖMÜRSPOR A.Ş
ALTINORDU,2 - 1,ESENLER EROKSPOR
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,2 - 2,1461 TRABZON FK
NAZİLLİ BELEDİYESPOR,0 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
BURSASPOR,0 - 2,KIRKLARELİSPOR FUTBOL A.Ş
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,1 - 2,SERİK BELEDİYESPOR
ANKARASPOR,1 - 0,DİYARBEKİR SPOR A.Ş.
BUCASPOR 1928,4 - 1,KIRŞEHİR FUTBOL SPOR KULÜBÜ
KARACABEY BELEDİYE SPOR A.Ş.,2 - 2,ACNTURK SİGORTA VAN SPOR FK
ZONGULDAK KÖMÜRSPOR A.Ş,2 - 0,BURSASPOR
TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,1 - 1,KARACABEY BELEDİYE SPOR A.Ş.
KIRKLARELİSPOR FUTBOL A.Ş,0 - 1,BUCASPOR 1928
1461 TRABZON FK,1 - 0,ANKARA DEMİRSPOR
HES İLAÇ AFYONSPOR KULÜBÜ,0 - 2,ALTINORDU
KIRŞEHİR FUTBOL SPOR KULÜBÜ,1 - 1,ADIYAMAN FUTBOL KULÜBÜ A.Ş.
DİYARBEKİR SPOR A.Ş.,0 - 2,NAZİLLİ BELEDİYESPOR
ESENLER EROKSPOR,1 - 1,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
ACNTURK SİGORTA VAN SPOR FK,2 - 1,ANKARASPOR
BUCASPOR 1928,3 - 0,ZONGULDAK KÖMÜRSPOR A.Ş
ADIYAMAN FUTBOL KULÜBÜ A.Ş.,0 - 2,KIRKLARELİSPOR FUTBOL A.Ş
ANKARASPOR,1 - 0,TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.
BURSASPOR,1 - 2,1461 TRABZON FK
BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.,4 - 0,HES İLAÇ AFYONSPOR KULÜBÜ
ALTINORDU,1 - 1,DİYARBEKİR SPOR A.Ş.
NAZİLLİ BELEDİYESPOR,0 - 1,ACNTURK SİGORTA VAN SPOR FK
SERİK BELEDİYESPOR,3 - 0,KIRŞEHİR FUTBOL SPOR KULÜBÜ
ANKARA DEMİRSPOR,0 - 1,ESENLER EROKSPOR
KARACABEY BELEDİYE SPOR A.Ş.,4 - 1,ANKARASPOR
ESENLER EROKSPOR,5 - 1,BURSASPOR
TURKISH OIL YENİ MERSİN İDMANYURDU FUTBOL A.Ş.,4 - 0,NAZİLLİ BELEDİYESPOR
DİYARBEKİR SPOR A.Ş.,2 - 2,BEYOĞLU YENİ ÇARŞI SPOR FAALİYETLERİ A.Ş.
